,id,party,name
360,4602,Liberal Democrat,"Hobhouse, Wera"
361,140,Labour,"Hodge, Dame Margaret"
362,1521,Labour,"Hodgson, Mrs Sharon"
363,4813,Conservative,"Holden, Mr Richard"
364,4363,Labour,"Hollern, Kate"
365,4016,Conservative,"Hollingbery, Sir George"
366,4474,Conservative,"Hollinrake, Kevin"
367,1537,Conservative,"Hollobone, Mr Philip"
368,1522,Conservative,"Holloway, Adam"
369,4803,Conservative,"Holmes, Paul"
370,2,Independent,"Hopkins, Kelvin"
371,4873,Labour,"Hopkins, Rachel"
372,1514,Scottish National Party,"Hosie, Stewart"
373,481,Labour,"Howarth, Sir George"
374,1606,Conservative,"Howell, John"
375,4830,Conservative,"Howell, Paul"
376,467,Speaker,"Hoyle, Sir Lindsay"
377,4407,Conservative,"Huddleston, Nigel"
378,4853,Conservative,"Hudson, Dr Neil"
379,4635,Conservative,"Hughes, Eddie"
380,4839,Conservative,"Hunt, Jane"
381,1572,Conservative,"Hunt, Jeremy"
382,4771,Conservative,"Hunt, Tom"
383,4511,Labour,"Huq, Dr Rupa"
384,1561,Conservative,"Hurd, Mr Nick"
385,4394,Independent,"Hussain, Imran"
386,4619,Conservative,"Jack, Mr Alister"
387,4115,Conservative,"James, Margot"
388,4634,Liberal Democrat,"Jardine, Christine"
389,4243,Labour,"Jarvis, Dan"
390,3945,Conservative,"Javid, Sir Sajid"
391,4498,Conservative,"Jayawardena, Mr Ranil"
392,40,Conservative,"Jenkin, Sir Bernard"
393,4752,Conservative,"Jenkinson, Mark"
394,4490,Conservative,"Jenkyns, Dame Andrea"
395,4320,Conservative,"Jenrick, Robert"
396,1423,Conservative,"Johnson, Boris"
397,4592,Conservative,"Johnson, Dr Caroline"
398,1533,Labour,"Johnson, Dame Diana"
399,3970,Conservative,"Johnson, Gareth"
400,4824,Labour,"Johnson, Kim"
401,4761,Conservative,"Johnston, David"
402,3996,Conservative,"Jones, Andrew"
403,4621,Labour,"Jones, Darren"
404,1502,Conservative,"Jones, Mr David"
405,4763,Conservative,"Jones, Fay"
406,4501,Labour,"Jones, Gerald"
407,3999,Labour,"Jones, Graham P"
408,432,Labour,"Jones, Helen"
409,1438,Labour,"Jones, Mr Kevan"
410,4024,Conservative,"Jones, Mr Marcus"
411,4716,Labour,"Jones, Ruth"
412,4631,Labour,"Jones, Sarah"
413,3956,Labour,"Jones, Susan Elan"
414,4862,Conservative,"Jupp, Simon"
415,4316,Labour,"Kane, Mike"
416,1566,Conservative,"Kawczynski, Daniel"
417,4805,Conservative,"Kearns, Alicia"
418,4680,Conservative,"Keegan, Gillian"
419,1588,Labour,"Keeley, Barbara"
420,4026,Labour,"Kendall, Liz"
421,4455,Conservative,"Kennedy, Seema"
422,4604,Conservative,"Kerr, Stephen"
423,4671,Labour,"Khan, Afzal"
424,4672,Labour (Co-op),"Killen, Ged"
425,4359,Labour,"Kinnock, Stephen"
426,5011,Labour,"Kitchen, Gen"
427,1200,Conservative,"Knight, Sir Greg"
428,4410,Independent,"Knight, Julian"
429,4773,Conservative,"Kniveton, Kate"
430,4858,Conservative,"Kruger, Danny"
431,4134,Conservative,"Kwarteng, Kwasi"
432,4505,Labour,"Kyle, Peter"
